title,location,postedOn,url
"Product Marketing Manager Intern, Workstations - Summer 2025","US, CA, Santa Clara",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Product-Marketing-Manager-Intern--Workstations---Summer-2025_JR1990376
Senior ASIC Verification and Infrastructure Engineer – GPU,2 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-ASIC-Verification-and-Infrastructure-Engineer---GPU_JR1981982
Hardware Engineering Mgr,"US, CA, Santa Clara",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Hardware-Engineering-Mgr_JR1990529
"Software Engineer, Engineering Productivity","US, CA, Santa Clara",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Software-Engineer--Engineering-Productivity_JR1990240
Senior Network Storage Engineer,4 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Remote/Senior-Network-Storage-Engineer_JR1989251
"Senior Solutions Architect, Infiniband and Ethernet Networking  - NVIS","Canada, Remote",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Canada-Remote/Senior-Solutions-Architect--Infiniband-and-Ethernet-Networking----NVIS_JR1989854
"Senior System Software Engineer, Server Software Toolkit - MGX",2 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Software-Engineer---Server-Software-ODM-and-OEM-Architecture_JR1975748
Corporate Development Manager,"US, CA, Santa Clara",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Corporate-Development-Manager_JR1976411-1
Senior SWQA Test Development Engineer,"Romania, Iasi",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Romania-Iasi/Senior-SWQA-Test-Development-Engineer_JR1987262
Switch System Validation Engineer,3 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Switch-System-Validation-Engineer_JR1989552
Chip Design Verification Engineer,"Israel, Yokneam",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Chip-Design-Verification-Engineer_JR1990077
EMC Engineer,"China, Shenzhen",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shenzhen/EMC-Engineer_JR1989629
Mixed Signal Circuit Designer Intern,2 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Taiwan-Hsinchu/Mixed-Signal-Circuit-Designer-Intern_JR1989890
Mixed Signal Design Engineer (RDSS Intern),2 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Taiwan-Hsinchu/Mixed-Signal-Design-Engineer--RDSS-Intern-_JR1989889
"Software Engineer, CAD DFT (RDSS Intern)",2 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Taiwan-Hsinchu/Software-Engineer--CAD-DFT--RDSS-Intern-_JR1990267-1
System Software Application Engineer,"Taiwan, Taipei",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Taiwan-Taipei/System-Software-Application-Engineer_JR1990075
EMC Engineer,"China, Shenzhen",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shenzhen/EMC-Engineer_JR1989534
Senior Technical Program Manager,"China, Shanghai",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Senior-Technical-Program-Manager_JR1990246
"Software Engineer Intern, Perception - Autonomous Vehicles - 2025","China, Shanghai",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Software-Engineer-Intern--Perception---Autonomous-Vehicles---2025_JR1990261
Senior Post-Silicon Validation Infrastructure Software Design Engineer,"China, Shanghai",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Senior-Post-Silicon-Validation-Infrastructure-Software-Design-Engineer_JR1990194
Senior Cloud Native Engineer,"Germany, Remote",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Germany-Remote/Senior-Cloud-Native-Engineer_JR1986831
"Software Infrastructure Engineering Intern, Autonomous Vehicles - 2025","Finland, Helsinki",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Finland-Helsinki/Software-Infrastructure-Engineering-Intern--Autonomous-Vehicles---2025_JR1989542
Chip Design Engineer,"Israel, Tel Aviv",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Chip-Design-Engineer_JR1981932
Senior Chip Design Verification Engineer,"Israel, Tel Aviv",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-Chip-Design-Verification-Engineer_JR1984738-1
Senior Kubernetes Software Engineer,2 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Raanana/Senior-Kubernetes-Software-Engineer_JR1984979-1
"Senior Physical Design Methodology Engineer, Innovus Flows",2 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Physical-Design-Methodology-Engineer--Innovus-Flows_JR1990093
"Senior Physical Design Methodology Engineer, PPA Fusion Compiler",3 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Physical-Design-Methodology-Engineer--PPA-Fusion-Compiler_JR1990209
Senior Technical Program Manager - GPU Clusters,2 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Technical-Program-Manager---GPU-Clusters_JR1990181
Senior Memory Post Silicon Qualification Engineer,"US, CA, Santa Clara",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Memory-Post-Silicon-Qualification-Engineer_JR1990121
Senior Power Integrity Engineer,"US, CA, Santa Clara",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Power-Integrity-Engineer_JR1990247
"Senior FinOps Engineer, Cloud Cost Management","US, CA, Santa Clara",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-FinOps-Engineer--Cloud-Cost-Management_JR1989951
Senior SWQA Test Development Engineer - DGX Cloud,"China, Shanghai",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Senior-SWQA-Test-Development-Engineer---DGX-Cloud_JR1987240
Senior System Software Engineer Platform - OpenBMC,2 Locations,Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-System-Software-Engineer-Platform---OpenBMC_JR1975144
"Senior Software Engineer, Reliability and Operational Excellence - DGX Cloud",2 Locations,Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Software-Engineer--Reliability-and-Operational-Excellence---DGX-Cloud_JR1988333
"Senior Product Architect, Cloud Native",2 Locations,Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Technical-Project-Manager_JR1988565
Senior Product Manager – AI Networking Orchestration,"US, CA, Santa Clara",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Product-Manager---AI-Networking-Orchestration_JR1983214-1
"Manager, Tegra & Product Diag TPM","US, CA, Santa Clara",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Manager--Tegra-Software-Chip_JR1989738
Senior Software Engineer - Robot Learning Platform,"Canada, Toronto",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Canada-Toronto/Senior-Software-Engineer---Robot-Learning-Platform_JR1990347
"Senior Manager, Device and Modeling","US, CA, Santa Clara",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Manager--Device-and-Modeling_JR1982369
Software QA Automation Engineer,"Israel, Yokneam",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Software-QA-Engineer_JR1985059
"Senior System Software Engineer, Distributed Systems - DGX Cloud",3 Locations,Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-System-Software-Engineer--Distributed-Systems---DGX-Cloud_JR1984726
"Senior Technical Program Manager, Cloud Operations","US, CA, Santa Clara",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Technical-Program-Manager--Cloud-Operations_JR1988238
Risk Manager,"US, CA, Santa Clara",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Risk-Manager_JR1989201
System Software Engineer - Power and Performance,"US, CA, Santa Clara",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/System-Software-Engineer---Power-and-Performance_JR1990308-1
Senior Technical Product Architect,4 Locations,Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Technical-Product-Architect_JR1974639
Senior DFT Engineer,"US, CA, Santa Clara",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-DFT-Engineer_JR1984835
"Data Center System Software Architect, DGX Cloud",4 Locations,Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Data-Center-System-Software-Architect--DGX-Cloud_JR1990388
"System Software Engineer, Python and C/C++ - Deep Learning",2 Locations,Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Poland-Warsaw/System-Software-Engineer--Python-and-C-C-----Deep-Learning_JR1980641
Senior GPU Register Database and System Architect,3 Locations,Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-GPU-Register-Database-and-System-Architect_JR1987469
Senior Design for Debug Architect and Methodology Engineer,2 Locations,Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Design-for-Debug-Architect-and-Methodology-Engineer_JR1987086
"Research Scientist Intern, Simulation Technology - 2025","Canada, Toronto",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Canada-Toronto/Research-Scientist-Intern--Simulation-Technology---2025_JR1990040
"Senior Research Scientist, Efficient Deep Learning","US, CA, Santa Clara",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Research-Scientist--Efficient-Deep-Learning_JR1990332
Network Modeling Architecture Student,2 Locations,Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Network-Modeling-Architecture-Student_JR1989243
Senior Mask Design Engineer - Hardware,"US, CA, Santa Clara",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Mask-Design-Engineer---Hardware_JR1984420
Principal Distributed Filesystem Architect,2 Locations,Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Principal-Distributed-Filesystem-Architect_JR1990116
